year;facility_number;facility_name;begin_date;end_date;county_name;type_of_control;hours_type;productive_hours;productive_hours_per_adjusted_patient_day
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Licensed Vocational Nurse;35560;0.38
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Aides & Orderlies;94571;1
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Clerical & Other Administrative;678994;7.18
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Environmental & Food Services;255009;2.7
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Other;236547;2.5
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Registry Nursing;15639;0.17
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Other;147746;1.56
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Daily Cost Centers;876774;9.27
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Ambulatory Cost Centers;458673;4.85
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Ancillary Cost Centers;870142;9.2
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Education Cost Centers;655765;6.93
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;General Services Cost Centers;637945;6.75
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Fiscal Services Cost Centers;198495;2.1
2009;106010776;CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND;01/01/2009;12/31/2009;Alameda;Non-Profit;Administrative Services Cost Centers;205979;2.18
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Management & Supervision;12729;1.28
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Technician & Specialist;17640;1.78
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Registered Nurse;357;0.04
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Licensed Vocational Nurse;0;0
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Aides & Orderlies;14094;1.42
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Clerical & Other Administrative;9945;1
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Environmental & Food Services;5074;0.51
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Other;0;0
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Registry Nursing;354;0.04
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Other;2061;0.21
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Daily Cost Centers;33336;3.36
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Ambulatory Cost Centers;1368;0.14
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Ancillary Cost Centers;0;0
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Education Cost Centers;0;0
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;General Services Cost Centers;9347;0.94
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Fiscal Services Cost Centers;13975;1.41
2009;106010782;THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL;01/01/2009;12/31/2009;Alameda;Non-Profit;Administrative Services Cost Centers;4228;0.43
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Management & Supervision;164648;1.88
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Technician & Specialist;493238;5.64
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Registered Nurse;804088;9.2
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Licensed Vocational Nurse;41493;0.47
